_step,ours,finetune,lwf,ewc,icarl
100,37.88,35.88,41.38,35.2,45.68
101,37.83,39.78,47.55,33.28,52.65
102,37.8,39.1,49.22,32.35,56.38
103,37.83,40.48,50.15,32.28,58.78
104,37.6,39.25,51.12,32.28,60.45
105,37.92,39.98,52.48,31.72,61.8
106,38.3,39.67,52.48,32.6,61.7
107,38.2,39.3,54.62,32.95,62.72
108,37.98,37.72,54.75,33.83,62.98
109,38.28,39.12,54.3,33.98,62.88
110,38.3,38.12,53.48,34.58,63.48
111,38.78,38.25,54.58,35.7,63.62
112,38.55,37.28,53.15,35.55,63.9
113,38.8,38.52,54.58,37.22,64.55
114,38.4,37.25,53.78,37.58,64.05
115,38.92,37.2,55.48,37.92,64.28
116,38.83,38.25,55.62,38.5,64.65
117,39.08,37.45,54.4,38.2,64.3
118,39.92,37.58,54.0,39.75,65.3
119,39.17,36.8,55.85,39.52,65.68
120,40.08,37.52,56.18,40.08,65.15
121,40.1,37.4,56.12,40.42,66.53
122,40.22,38.67,55.08,40.92,65.62
123,40.72,37.42,56.05,41.72,66.05
124,40.7,37.2,57.05,41.82,65.88
125,41.72,37.58,56.52,41.92,65.85
126,41.08,36.5,57.28,42.78,65.95
127,41.32,37.12,56.02,42.25,65.95
128,42.6,36.83,56.6,42.22,65.6
129,42.28,36.8,55.78,41.52,65.62
130,42.4,37.17,56.95,42.42,66.0
131,43.28,37.02,55.68,43.38,66.38
132,43.45,37.85,56.98,43.38,66.32
133,43.32,37.38,56.8,43.68,66.9
134,44.08,38.15,57.62,44.32,66.32
135,43.72,37.9,56.62,43.62,66.55
136,44.65,38.15,55.58,42.72,66.1
137,44.22,37.8,56.35,44.55,67.05
138,44.2,37.35,56.22,44.08,66.88
139,45.6,37.42,56.1,44.42,66.9
140,45.95,37.52,57.65,44.88,66.78
141,45.58,38.2,56.75,44.2,67.08
142,46.0,37.12,57.62,44.62,66.72
143,46.45,37.45,58.25,45.42,66.92
144,46.18,38.45,57.18,45.18,67.2
145,46.8,37.6,56.8,44.78,66.25
146,45.8,37.78,57.0,44.7,66.58
147,47.45,37.62,58.1,43.92,66.55
148,46.82,37.72,57.92,44.18,66.85
149,47.92,38.22,56.18,44.32,66.28
150,47.55,38.52,56.62,43.98,66.55
151,47.88,38.48,56.72,44.62,66.25
152,48.62,38.8,57.4,45.2,66.3
153,47.65,38.45,57.1,44.9,66.22
154,48.6,37.55,56.78,44.92,65.85
155,48.58,38.8,56.5,44.78,66.78
156,49.02,38.42,56.42,44.85,66.18
157,50.25,38.12,57.92,44.95,66.82
158,49.82,37.92,57.28,44.88,66.82
159,49.88,38.35,56.8,44.92,67.72
160,50.08,38.35,57.68,44.9,66.4
161,49.95,38.22,57.82,44.7,67.55
162,50.0,37.72,57.92,45.42,68.03
163,50.72,38.4,58.95,44.95,66.42
164,50.7,38.8,57.8,45.08,67.08
165,50.88,37.83,58.28,45.55,67.25
166,51.08,38.5,58.35,44.62,67.1
167,52.08,38.62,57.52,44.88,66.35
168,52.1,37.65,58.55,45.42,66.9
169,52.12,38.3,58.52,44.78,66.82
170,52.58,38.78,57.82,45.12,67.1
171,52.52,38.28,56.98,45.62,68.0
172,51.82,38.6,57.9,44.2,67.5
173,54.05,38.38,57.5,44.8,67.15
174,53.55,38.48,58.05,45.45,67.25
175,53.28,38.45,58.3,45.42,66.22
176,52.05,39.17,57.25,45.78,66.47
177,53.9,37.45,58.8,45.25,68.78
178,53.2,39.0,59.3,45.58,68.2
179,53.95,38.62,58.25,45.58,66.97
180,54.28,38.6,57.15,45.55,67.12
181,53.32,38.12,57.18,44.82,67.8
182,53.85,38.08,57.38,45.08,67.28
183,54.78,38.75,58.02,44.75,66.53
184,54.28,37.4,59.4,45.05,66.92
185,54.28,38.5,58.2,44.75,67.6
186,54.1,38.28,56.9,44.7,67.08
187,55.05,38.55,56.98,44.68,67.03
188,54.6,39.17,58.7,45.0,67.58
189,54.92,39.42,57.62,45.1,67.58
190,54.22,38.6,58.02,44.5,66.75
191,54.92,39.1,58.32,44.5,67.18
192,54.55,38.85,58.68,44.65,67.7
193,55.18,38.65,58.68,44.32,68.05
194,55.5,38.35,58.02,44.22,67.0
195,55.25,38.7,58.35,43.68,67.88
196,55.62,38.2,58.15,44.48,66.55
197,56.88,38.33,58.88,43.65,67.68
198,55.88,39.12,58.22,44.6,66.68
199,56.58,39.42,59.15,44.28,67.2
